ordernumber,sales_channel,warehousecode,procureddate,orderdate,shipdate,deliverydate,currencycode,salesteamid,customerid,storeid,productid,order_quantity,discount_applied,unit_price,unit_cost,order_total,order_discount,grand_total
SO - 0002259,Distributor,WARE-XYS1001,2018-10-27,2019-02-05,2019-02-08,2019-02-14,USD,21,2,17,3,6,0.05,1031.8,433.356,6190.799999999999,309.53999999999996,5881.259999999999
SO - 0002260,Distributor,WARE-NMK1003,2018-10-27,2019-02-05,2019-02-19,2019-03-01,USD,21,10,147,39,4,0.1,2753.7000000000003,1459.4610000000002,11014.800000000001,1101.4800000000002,9913.320000000002
SO - 0002261,Wholesale,WARE-NBV1002,2018-10-27,2019-02-05,2019-02-08,2019-02-12,USD,26,36,76,41,7,0.4,234.5,143.045,1641.5,656.6,984.9
SO - 0002262,Online,WARE-XYS1001,2018-10-27,2019-02-05,2019-02-14,2019-02-24,USD,20,35,42,42,2,0.05,1132.3,702.026,2264.6,113.23,2151.37
SO - 0002263,In-Store,WARE-UHY1004,2018-10-27,2019-02-05,2019-02-27,2019-03-02,USD,5,37,219,39,2,0.1,978.2,449.972,1956.4,195.64000000000001,1760.76
SO - 0002264,In-Store,WARE-MKL1006,2018-10-27,2019-02-05,2019-02-08,2019-02-18,USD,8,26,359,29,6,0.075,2619.7000000000003,1938.578,15718.2,1178.865,14539.335000000001
SO - 0002265,Wholesale,WARE-XYS1001,2018-10-27,2019-02-05,2019-02-21,2019-03-02,USD,26,33,21,16,7,0.15,1078.7,528.563,7550.900000000001,1132.635,6418.265
SO - 0002266,Wholesale,WARE-XYS1001,2018-10-27,2019-02-05,2019-03-01,2019-03-03,USD,28,16,29,5,2,0.05,1829.1,804.8040000000001,3658.2,182.91,3475.29
SO - 0002267,Distributor,WARE-NMK1003,2018-10-27,2019-02-06,2019-03-05,2019-03-13,USD,21,42,149,22,1,0.05,1038.5,508.865,1038.5,51.925000000000004,986.575
SO - 0002268,Online,WARE-UHY1004,2018-10-27,2019-02-06,2019-02-26,2019-03-08,USD,19,31,249,9,5,0.05,3946.3,1894.224,19731.5,986.575,18744.925
SO - 0002269,Online,WARE-PUJ1005,2018-10-27,2019-02-06,2019-03-04,2019-03-13,USD,18,24,295,23,1,0.05,5299.7,2596.853,5299.7,264.985,5034.715
SO - 0002270,In-Store,WARE-NMK1003,2018-10-27,2019-02-06,2019-03-02,2019-03-05,USD,8,37,202,15,6,0.15,2365.1,1442.711,14190.599999999999,2128.5899999999997,12062.009999999998
SO - 0002271,Distributor,WARE-XYS1001,2018-10-27,2019-02-06,2019-02-08,2019-02-16,USD,23,6,47,5,3,0.15,268.0,120.6,804.0,120.6,683.4
SO - 0002272,Wholesale,WARE-NMK1003,2018-10-27,2019-02-06,2019-02-09,2019-02-18,USD,27,22,136,28,8,0.075,1139.0,785.91,9112.0,683.4,8428.6
SO - 0002273,Distributor,WARE-NMK1003,2018-10-27,2019-02-06,2019-02-14,2019-02-15,USD,25,19,148,21,6,0.05,1139.0,751.74,6834.0,341.70000000000005,6492.3
SO - 0002274,Online,WARE-MKL1006,2018-10-27,2019-02-06,2019-02-20,2019-02-27,USD,18,13,352,7,2,0.3,247.9,148.74,495.8,148.74,347.06
SO - 0002275,Online,WARE-NMK1003,2018-10-27,2019-02-06,2019-02-28,2019-03-06,USD,15,14,190,36,5,0.4,3926.2,1806.052,19631.0,7852.400000000001,11778.599999999999
SO - 0002276,Online,WARE-UHY1004,2018-10-27,2019-02-06,2019-02-25,2019-03-05,USD,14,8,218,22,8,0.05,938.0,712.88,7504.0,375.20000000000005,7128.8
SO - 0002277,In-Store,WARE-PUJ1005,2018-10-27,2019-02-07,2019-02-24,2019-03-06,USD,5,44,297,31,6,0.075,3718.5,2417.025,22311.0,1673.325,20637.675
SO - 0002278,In-Store,WARE-PUJ1005,2018-10-27,2019-02-07,2019-02-22,2019-02-24,USD,6,50,281,17,4,0.05,2472.3,1335.042,9889.2,494.46000000000004,9394.740000000002
SO - 0002279,Wholesale,WARE-NMK1003,2018-10-27,2019-02-07,2019-03-02,2019-03-05,USD,26,21,100,45,5,0.05,5601.2,3080.6600000000003,28006.0,1400.3000000000002,26605.7
SO - 0002280,Online,WARE-XYS1001,2018-10-27,2019-02-07,2019-02-16,2019-02-20,USD,16,39,24,33,3,0.3,3959.7,1861.059,11879.099999999999,3563.7299999999996,8315.369999999999
SO - 0002281,Online,WARE-NMK1003,2018-10-27,2019-02-07,2019-02-19,2019-02-20,USD,18,1,155,34,5,0.15,1802.3,720.9200000000001,9011.5,1351.725,7659.775
SO - 0002282,In-Store,WARE-XYS1001,2018-10-27,2019-02-07,2019-02-27,2019-03-01,USD,3,39,30,7,3,0.05,2418.7000000000003,1596.3420000000003,7256.1,362.80500000000006,6893.295
SO - 0002283,Distributor,WARE-XYS1001,2018-10-27,2019-02-07,2019-02-10,2019-02-14,USD,21,37,40,41,6,0.05,1299.8,1065.836,7798.799999999999,389.94,7408.86
SO - 0002284,Distributor,WARE-NMK1003,2018-10-27,2019-02-07,2019-02-18,2019-02-26,USD,21,4,169,20,6,0.1,1118.9,682.529,6713.400000000001,671.3400000000001,6042.06
SO - 0002285,In-Store,WARE-PUJ1005,2018-10-27,2019-02-07,2019-02-14,2019-02-19,USD,8,29,290,27,6,0.1,3932.9,1573.16,23597.4,2359.7400000000002,21237.66
SO - 0002286,Distributor,WARE-UHY1004,2018-10-27,2019-02-07,2019-02-28,2019-03-01,USD,21,2,212,38,1,0.075,221.1,95.073,221.1,16.5825,204.51749999999998
SO - 0002287,In-Store,WARE-XYS1001,2018-10-27,2019-02-07,2019-03-06,2019-03-10,USD,4,24,30,22,2,0.1,187.6,93.8,375.2,37.52,337.68
SO - 0002288,Distributor,WARE-NMK1003,2018-10-27,2019-02-08,2019-03-08,2019-03-18,USD,23,34,152,8,7,0.05,2244.5,1324.255,15711.5,785.575,14925.925
SO - 0002289,Online,WARE-UHY1004,2018-10-27,2019-02-08,2019-03-08,2019-03-10,USD,18,35,206,41,7,0.3,2432.1,1799.754,17024.7,5107.41,11917.29
SO - 0002290,In-Store,WARE-UHY1004,2018-10-27,2019-02-08,2019-02-19,2019-02-25,USD,7,7,225,22,5,0.05,6298.0,3337.94,31490.0,1574.5,29915.5
SO - 0002291,In-Store,WARE-NBV1002,2018-10-27,2019-02-08,2019-02-13,2019-02-21,USD,3,3,63,6,8,0.05,2271.3,1476.3450000000005,18170.4,908.5200000000001,17261.88
SO - 0002292,Distributor,WARE-PUJ1005,2018-10-27,2019-02-08,2019-03-03,2019-03-12,USD,23,25,292,20,8,0.05,3979.8,2785.86,31838.4,1591.92,30246.480000000003
SO - 0002293,In-Store,WARE-UHY1004,2018-10-27,2019-02-08,2019-02-20,2019-02-23,USD,11,36,255,27,4,0.4,241.2,166.428,964.8,385.92,578.8799999999999
SO - 0002294,In-Store,WARE-UHY1004,2018-10-27,2019-02-08,2019-02-18,2019-02-19,USD,3,44,231,11,1,0.2,1098.8,439.52,1098.8,219.76,879.04
SO - 0002295,In-Store,WARE-XYS1001,2018-10-27,2019-02-08,2019-02-19,2019-02-21,USD,12,34,43,18,7,0.15,2331.6,1468.908,16321.199999999999,2448.18,13873.019999999999
SO - 0002296,In-Store,WARE-NBV1002,2018-10-27,2019-02-08,2019-02-16,2019-02-19,USD,10,18,81,9,5,0.05,2934.6,2406.372,14673.0,733.6500000000001,13939.35
SO - 0002297,Online,WARE-MKL1006,2018-10-27,2019-02-09,2019-03-09,2019-03-10,USD,12,12,332,44,4,0.1,1788.9,1377.4530000000002,7155.6,715.5600000000001,6440.04
SO - 0002298,In-Store,WARE-PUJ1005,2018-10-27,2019-02-09,2019-02-12,2019-02-17,USD,5,13,293,23,7,0.05,3075.3,2583.252,21527.100000000002,1076.3550000000002,20450.745000000003
SO - 0002299,Distributor,WARE-NMK1003,2018-10-27,2019-02-09,2019-02-12,2019-02-16,USD,24,45,173,42,2,0.05,2257.9,1422.477,4515.8,225.79000000000002,4290.01
SO - 0002300,In-Store,WARE-PUJ1005,2018-10-27,2019-02-09,2019-02-24,2019-03-02,USD,8,44,300,2,8,0.15,971.5,612.045,7772.0,1165.8,6606.2
SO - 0002301,In-Store,WARE-NMK1003,2018-10-27,2019-02-09,2019-03-02,2019-03-07,USD,4,24,135,25,1,0.075,3705.1,2482.417,3705.1,277.8825,3427.2174999999997
SO - 0002302,Distributor,WARE-MKL1006,2018-10-27,2019-02-09,2019-03-08,2019-03-12,USD,25,25,330,23,6,0.075,241.2,110.952,1447.1999999999998,108.53999999999998,1338.6599999999999
SO - 0002303,Online,WARE-MKL1006,2018-10-27,2019-02-09,2019-02-21,2019-02-24,USD,15,31,352,35,4,0.15,3953.0,2529.92,15812.0,2371.7999999999997,13440.2
SO - 0002304,In-Store,WARE-NMK1003,2018-10-27,2019-02-10,2019-03-03,2019-03-08,USD,10,30,90,13,5,0.075,844.2,337.68000000000006,4221.0,316.575,3904.425
SO - 0002305,Wholesale,WARE-UHY1004,2018-10-27,2019-02-10,2019-02-13,2019-02-14,USD,26,39,248,36,3,0.075,2633.1,1737.846,7899.299999999999,592.4474999999999,7306.852499999999
SO - 0002306,Online,WARE-NMK1003,2018-10-27,2019-02-10,2019-02-23,2019-02-25,USD,17,15,171,7,1,0.05,1701.8,1412.494,1701.8,85.09,1616.71
SO - 0002307,Online,WARE-XYS1001,2018-10-27,2019-02-10,2019-02-22,2019-03-04,USD,12,17,12,44,4,0.075,167.5,78.725,670.0,50.25,619.75
SO - 0002308,Online,WARE-MKL1006,2018-10-27,2019-02-10,2019-03-05,2019-03-13,USD,15,23,349,20,4,0.15,2378.5,1236.82,9514.0,1427.1,8086.9
SO - 0002309,Wholesale,WARE-XYS1001,2018-10-27,2019-02-10,2019-02-19,2019-02-27,USD,25,27,14,19,7,0.05,1078.7,733.5160000000001,7550.900000000001,377.5450000000001,7173.3550000000005
SO - 0002310,Online,WARE-NBV1002,2018-10-27,2019-02-10,2019-02-17,2019-02-21,USD,14,17,67,9,1,0.05,2452.2000000000003,1888.194,2452.2000000000003,122.61000000000001,2329.59
SO - 0002311,Online,WARE-UHY1004,2018-10-27,2019-02-10,2019-03-04,2019-03-14,USD,15,25,259,9,5,0.075,1922.9,1519.091,9614.5,721.0875,8893.4125
SO - 0002312,In-Store,WARE-UHY1004,2018-10-27,2019-02-10,2019-03-10,2019-03-15,USD,2,15,255,42,1,0.4,6224.3,3859.066,6224.3,2489.7200000000003,3734.58
SO - 0002313,Wholesale,WARE-PUJ1005,2018-10-27,2019-02-11,2019-02-25,2019-03-01,USD,28,10,271,27,4,0.15,1876.0,994.28,7504.0,1125.6,6378.4
SO - 0002314,In-Store,WARE-NMK1003,2018-10-27,2019-02-11,2019-02-27,2019-03-04,USD,10,4,190,17,5,0.05,6304.7,2774.068,31523.5,1576.1750000000002,29947.325
SO - 0002315,Distributor,WARE-UHY1004,2018-10-27,2019-02-11,2019-02-27,2019-03-03,USD,21,17,236,45,4,0.1,964.8,569.232,3859.2,385.92,3473.2799999999997
SO - 0002316,In-Store,WARE-NMK1003,2018-10-27,2019-02-11,2019-02-26,2019-03-01,USD,7,43,116,43,2,0.15,3611.3,2780.701,7222.6,1083.39,6139.21
SO - 0002317,In-Store,WARE-PUJ1005,2018-10-27,2019-02-11,2019-02-13,2019-02-19,USD,5,31,306,36,3,0.075,1005.0,633.15,3015.0,226.125,2788.875
SO - 0002318,Distributor,WARE-UHY1004,2018-10-27,2019-02-11,2019-03-02,2019-03-04,USD,24,38,225,8,2,0.15,2793.9,1201.377,5587.8,838.17,4749.63
SO - 0002319,In-Store,WARE-NMK1003,2018-10-27,2019-02-11,2019-03-01,2019-03-10,USD,12,34,173,30,3,0.05,850.9,646.684,2552.7,127.63499999999999,2425.0649999999996
SO - 0002320,In-Store,WARE-PUJ1005,2018-10-27,2019-02-11,2019-03-07,2019-03-13,USD,5,44,272,40,5,0.075,2278.0,1913.52,11390.0,854.25,10535.75
SO - 0002321,Wholesale,WARE-XYS1001,2018-10-27,2019-02-11,2019-02-19,2019-02-28,USD,28,33,38,17,7,0.15,1092.1,655.2600000000001,7644.699999999999,1146.7049999999997,6497.994999999999
SO - 0002322,Wholesale,WARE-NMK1003,2018-10-27,2019-02-11,2019-02-24,2019-03-06,USD,27,33,159,26,4,0.05,6505.7,3578.135,26022.8,1301.14,24721.66
SO - 0002323,Distributor,WARE-NMK1003,2018-10-27,2019-02-12,2019-02-15,2019-02-16,USD,24,13,134,7,5,0.05,1125.6,495.26400000000007,5628.0,281.40000000000003,5346.6
SO - 0002324,Distributor,WARE-NMK1003,2018-10-27,2019-02-12,2019-03-09,2019-03-15,USD,24,25,91,22,8,0.15,1165.8,559.584,9326.4,1398.9599999999998,7927.44
SO - 0002325,In-Store,WARE-NMK1003,2018-10-27,2019-02-12,2019-03-06,2019-03-07,USD,7,47,97,9,5,0.05,978.2,674.958,4891.0,244.55,4646.45
SO - 0002326,Online,WARE-XYS1001,2018-10-27,2019-02-12,2019-02-21,2019-02-28,USD,19,31,54,4,8,0.075,3035.1,1578.252,24280.8,1821.06,22459.739999999998
SO - 0002327,In-Store,WARE-PUJ1005,2018-10-27,2019-02-12,2019-03-09,2019-03-10,USD,11,7,322,31,4,0.075,214.4,167.232,857.6,64.32,793.28
SO - 0002328,Online,WARE-MKL1006,2018-10-27,2019-02-12,2019-03-05,2019-03-12,USD,12,44,365,40,3,0.075,1125.6,709.128,3376.7999999999997,253.25999999999996,3123.54
SO - 0002329,In-Store,WARE-NMK1003,2018-10-27,2019-02-12,2019-02-24,2019-02-27,USD,5,3,153,23,2,0.1,5567.7,3284.943,11135.4,1113.54,10021.86
SO - 0002330,Wholesale,WARE-PUJ1005,2018-10-27,2019-02-12,2019-03-10,2019-03-15,USD,28,40,284,10,7,0.075,167.5,70.35,1172.5,87.9375,1084.5625
SO - 0002331,In-Store,WARE-XYS1001,2018-10-27,2019-02-12,2019-03-09,2019-03-14,USD,10,18,6,30,1,0.2,1822.4,1111.664,1822.4,364.48,1457.92
SO - 0002332,Wholesale,WARE-PUJ1005,2018-10-27,2019-02-12,2019-03-11,2019-03-12,USD,28,6,284,9,2,0.4,5983.1,2632.5640000000003,11966.2,4786.4800000000005,7179.72
SO - 0002333,Online,WARE-PUJ1005,2018-10-27,2019-02-12,2019-03-06,2019-03-12,USD,16,37,271,43,2,0.1,1802.3,1135.449,3604.6,360.46000000000004,3244.14
SO - 0002334,In-Store,WARE-XYS1001,2018-10-27,2019-02-12,2019-03-06,2019-03-09,USD,3,36,26,40,7,0.075,3939.6,2481.948,27577.2,2068.29,25508.91
SO - 0002335,Online,WARE-UHY1004,2018-10-27,2019-02-13,2019-02-19,2019-02-24,USD,15,50,210,4,1,0.075,676.7,311.28200000000004,676.7,50.752500000000005,625.9475
SO - 0002336,In-Store,WARE-XYS1001,2018-10-27,2019-02-13,2019-02-18,2019-02-20,USD,3,20,11,2,7,0.075,3457.2000000000003,1452.024,24200.4,1815.03,22385.370000000003
SO - 0002337,In-Store,WARE-NMK1003,2018-10-27,2019-02-14,2019-03-06,2019-03-10,USD,9,29,170,6,5,0.15,5681.6,4658.912,28408.0,4261.2,24146.8
SO - 0002338,Distributor,WARE-UHY1004,2018-10-27,2019-02-14,2019-03-03,2019-03-13,USD,22,23,248,12,3,0.075,254.6,178.22,763.8,57.285,706.515
SO - 0002339,Wholesale,WARE-UHY1004,2018-10-27,2019-02-14,2019-03-05,2019-03-13,USD,25,14,253,2,6,0.05,3879.3,2831.889,23275.800000000003,1163.7900000000002,22112.010000000002
SO - 0002340,In-Store,WARE-XYS1001,2018-10-27,2019-02-14,2019-03-04,2019-03-06,USD,3,16,47,37,1,0.05,3289.7000000000003,1776.4380000000003,3289.7000000000003,164.485,3125.215
SO - 0002341,In-Store,WARE-XYS1001,2018-10-27,2019-02-14,2019-02-23,2019-02-25,USD,7,38,19,10,7,0.05,227.8,104.788,1594.6000000000001,79.73000000000002,1514.8700000000001
SO - 0002342,In-Store,WARE-NMK1003,2018-10-27,2019-02-14,2019-02-24,2019-02-28,USD,5,13,182,5,3,0.075,3685.0,1731.9499999999998,11055.0,829.125,10225.875
SO - 0002343,In-Store,WARE-UHY1004,2018-10-27,2019-02-14,2019-03-14,2019-03-15,USD,9,3,260,19,6,0.05,3832.4,1724.5800000000002,22994.4,1149.72,21844.68
SO - 0002344,In-Store,WARE-PUJ1005,2018-10-27,2019-02-14,2019-03-06,2019-03-10,USD,12,31,319,18,3,0.1,221.1,181.302,663.3,66.33,596.9699999999999
SO - 0002345,In-Store,WARE-UHY1004,2018-10-27,2019-02-14,2019-03-10,2019-03-18,USD,3,9,247,37,8,0.05,1922.9,1172.969,15383.2,769.1600000000001,14614.04
SO - 0002346,Online,WARE-NMK1003,2018-10-27,2019-02-14,2019-03-09,2019-03-18,USD,20,13,129,34,1,0.05,984.9,453.054,984.9,49.245000000000005,935.655
SO - 0002347,Distributor,WARE-NBV1002,2018-10-27,2019-02-15,2019-03-05,2019-03-08,USD,22,27,87,41,3,0.05,1159.1,776.5970000000001,3477.2999999999997,173.865,3303.4349999999995
SO - 0002348,Wholesale,WARE-NMK1003,2018-10-27,2019-02-15,2019-03-05,2019-03-12,USD,27,1,93,9,3,0.2,261.3,143.71500000000003,783.9000000000001,156.78000000000003,627.1200000000001
SO - 0002349,Online,WARE-PUJ1005,2018-10-27,2019-02-15,2019-03-06,2019-03-16,USD,20,38,326,44,8,0.1,1688.4,1181.88,13507.2,1350.7200000000003,12156.48
SO - 0002350,In-Store,WARE-PUJ1005,2018-10-27,2019-02-15,2019-03-13,2019-03-22,USD,9,23,318,37,6,0.1,884.4,486.42,5306.4,530.64,4775.759999999999
SO - 0002351,Distributor,WARE-NMK1003,2018-10-27,2019-02-16,2019-03-16,2019-03-17,USD,25,11,172,14,6,0.2,797.3000000000001,621.8940000000001,4783.8,956.7600000000001,3827.04
SO - 0002352,In-Store,WARE-NMK1003,2018-10-27,2019-02-16,2019-03-03,2019-03-09,USD,5,17,181,13,1,0.15,1139.0,626.45,1139.0,170.85,968.15
SO - 0002353,Online,WARE-UHY1004,2018-10-27,2019-02-16,2019-03-05,2019-03-11,USD,19,3,225,37,6,0.075,1822.4,1457.92,10934.400000000001,820.08,10114.320000000002
SO - 0002354,Distributor,WARE-UHY1004,2018-10-27,2019-02-16,2019-03-01,2019-03-02,USD,24,4,220,4,8,0.1,2278.0,1344.02,18224.0,1822.4,16401.6
SO - 0002355,In-Store,WARE-PUJ1005,2018-10-27,2019-02-16,2019-02-24,2019-02-25,USD,10,3,285,6,5,0.1,167.5,120.6,837.5,83.75,753.75
SO - 0002356,Wholesale,WARE-NMK1003,2018-10-27,2019-02-16,2019-03-05,2019-03-11,USD,28,47,105,41,6,0.15,683.4,512.55,4100.4,615.06,3485.3399999999997
SO - 0002357,Wholesale,WARE-NMK1003,2018-10-27,2019-02-16,2019-03-01,2019-03-04,USD,28,3,119,1,8,0.075,1011.7,748.658,8093.6,607.02,7486.58
SO - 0002358,Distributor,WARE-NMK1003,2018-10-27,2019-02-16,2019-03-04,2019-03-09,USD,23,49,165,29,1,0.075,2479.0,1512.19,2479.0,185.92499999999998,2293.075
SO - 0002359,Distributor,WARE-NMK1003,2018-10-27,2019-02-16,2019-03-04,2019-03-14,USD,25,1,196,9,4,0.3,2726.9,1881.561,10907.6,3272.28,7635.32
SO - 0002360,In-Store,WARE-NMK1003,2018-10-27,2019-02-17,2019-02-26,2019-02-27,USD,6,17,120,1,2,0.05,1118.9,906.309,2237.8,111.89000000000001,2125.9100000000003
SO - 0002361,In-Store,WARE-NMK1003,2018-10-27,2019-02-17,2019-02-27,2019-02-28,USD,4,11,183,38,1,0.05,1279.7,1010.963,1279.7,63.98500000000001,1215.7150000000001
SO - 0002362,In-Store,WARE-NMK1003,2018-10-27,2019-02-17,2019-03-08,2019-03-12,USD,10,25,106,41,2,0.1,3919.5,3292.38,7839.0,783.9000000000001,7055.1
SO - 0002363,Online,WARE-NBV1002,2018-10-27,2019-02-17,2019-03-12,2019-03-17,USD,14,33,72,35,4,0.075,1855.9,835.1550000000001,7423.6,556.77,6866.83
SO - 0002364,Wholesale,WARE-XYS1001,2018-10-27,2019-02-17,2019-03-10,2019-03-11,USD,27,7,26,25,2,0.05,1849.2,1423.884,3698.4,184.92000000000002,3513.48
SO - 0002365,In-Store,WARE-NMK1003,2018-10-27,2019-02-17,2019-02-22,2019-03-01,USD,10,46,120,45,1,0.2,5272.900000000001,2636.4500000000003,5272.900000000001,1054.5800000000002,4218.320000000001
SO - 0002366,In-Store,WARE-PUJ1005,2018-10-27,2019-02-17,2019-02-21,2019-03-01,USD,11,21,311,25,5,0.05,194.3,141.839,971.5,48.575,922.925
SO - 0002367,Online,WARE-UHY1004,2018-10-27,2019-02-17,2019-02-27,2019-03-07,USD,19,9,227,33,5,0.05,1038.5,643.87,5192.5,259.625,4932.875
SO - 0002368,Distributor,WARE-PUJ1005,2018-10-27,2019-02-17,2019-03-17,2019-03-27,USD,22,5,278,12,2,0.05,5279.6,2375.82,10559.2,527.96,10031.240000000002
SO - 0002369,In-Store,WARE-UHY1004,2018-10-27,2019-02-17,2019-03-07,2019-03-13,USD,2,45,247,15,8,0.2,3705.1,2111.907,29640.8,5928.16,23712.64
SO - 0002370,In-Store,WARE-PUJ1005,2018-10-27,2019-02-17,2019-02-26,2019-02-28,USD,3,13,318,6,5,0.15,194.3,101.03600000000002,971.5,145.725,825.775
SO - 0002371,In-Store,WARE-UHY1004,2018-10-27,2019-02-17,2019-03-02,2019-03-11,USD,6,27,237,7,1,0.05,1098.8,879.04,1098.8,54.94,1043.86
SO - 0002372,In-Store,WARE-UHY1004,2018-10-27,2019-02-17,2019-03-10,2019-03-16,USD,11,27,242,21,7,0.075,1762.1,1409.6800000000003,12334.699999999999,925.1024999999998,11409.5975
SO - 0002373,Distributor,WARE-NMK1003,2018-10-27,2019-02-17,2019-03-16,2019-03-19,USD,22,9,94,17,5,0.05,174.20000000000002,101.036,871.0000000000001,43.55000000000001,827.45
SO - 0002374,Online,WARE-NMK1003,2018-10-27,2019-02-17,2019-02-27,2019-03-09,USD,18,40,177,12,5,0.05,2525.9,1591.317,12629.5,631.475,11998.025
SO - 0002375,Wholesale,WARE-MKL1006,2018-10-27,2019-02-18,2019-03-16,2019-03-20,USD,28,50,344,6,3,0.05,1876.0,1256.92,5628.0,281.40000000000003,5346.6
SO - 0002376,In-Store,WARE-UHY1004,2018-10-27,2019-02-18,2019-03-12,2019-03-22,USD,7,3,227,26,5,0.15,897.8000000000001,718.2400000000001,4489.0,673.35,3815.65
SO - 0002377,Wholesale,WARE-XYS1001,2018-10-27,2019-02-18,2019-02-27,2019-03-08,USD,27,5,48,7,4,0.075,844.2,455.86800000000005,3376.8,253.26,3123.54
SO - 0002378,In-Store,WARE-PUJ1005,2018-10-27,2019-02-18,2019-03-12,2019-03-20,USD,1,42,318,41,7,0.1,3932.9,2202.4240000000004,27530.3,2753.03,24777.27
SO - 0002379,In-Store,WARE-XYS1001,2018-10-27,2019-02-18,2019-02-27,2019-03-07,USD,3,39,15,31,1,0.075,3999.9,2519.937,3999.9,299.9925,3699.9075000000003
SO - 0002380,In-Store,WARE-PUJ1005,2018-10-27,2019-02-18,2019-03-05,2019-03-10,USD,1,17,293,4,3,0.05,964.8,820.08,2894.3999999999996,144.72,2749.68
SO - 0002381,In-Store,WARE-NMK1003,2018-10-27,2019-02-18,2019-03-03,2019-03-04,USD,11,33,132,19,4,0.1,1976.5,1462.61,7906.0,790.6,7115.4
SO - 0002382,Online,WARE-XYS1001,2018-10-27,2019-02-19,2019-03-02,2019-03-11,USD,15,9,41,39,8,0.075,978.2,401.062,7825.6,586.92,7238.68
SO - 0002383,In-Store,WARE-PUJ1005,2018-10-27,2019-02-19,2019-03-05,2019-03-11,USD,10,50,268,46,3,0.15,3778.8,3023.0400000000004,11336.400000000001,1700.4600000000003,9635.94
SO - 0002384,Online,WARE-UHY1004,2018-10-27,2019-02-19,2019-03-16,2019-03-25,USD,13,17,258,42,1,0.075,1165.8,967.614,1165.8,87.43499999999999,1078.365
SO - 0002385,Distributor,WARE-MKL1006,2018-10-27,2019-02-19,2019-02-23,2019-03-01,USD,21,4,367,44,8,0.1,1152.4,887.3480000000001,9219.2,921.9200000000001,8297.28
SO - 0002386,Distributor,WARE-NMK1003,2018-10-27,2019-02-19,2019-03-05,2019-03-13,USD,23,46,143,33,8,0.1,1045.2,522.6,8361.6,836.1600000000001,7525.4400000000005
SO - 0002387,Distributor,WARE-UHY1004,2018-10-27,2019-02-19,2019-03-19,2019-03-20,USD,23,44,208,5,3,0.15,6385.1,3767.209,19155.300000000003,2873.2950000000005,16282.005000000003
SO - 0002388,Online,WARE-NMK1003,2018-10-27,2019-02-19,2019-02-24,2019-02-28,USD,12,31,162,25,1,0.075,2686.7000000000003,1423.9510000000002,2686.7000000000003,201.50250000000003,2485.1975
SO - 0002389,In-Store,WARE-NMK1003,2018-10-27,2019-02-20,2019-02-26,2019-02-27,USD,4,35,102,14,5,0.05,6277.900000000001,3201.7290000000003,31389.500000000004,1569.4750000000004,29820.025
SO - 0002390,Wholesale,WARE-NMK1003,2018-10-27,2019-02-20,2019-03-04,2019-03-06,USD,26,49,117,45,8,0.075,1159.1,857.734,9272.8,695.4599999999999,8577.34
SO - 0002391,Online,WARE-PUJ1005,2018-10-27,2019-02-20,2019-03-03,2019-03-07,USD,19,12,274,24,8,0.15,1118.9,671.34,8951.2,1342.68,7608.52
SO - 0002392,In-Store,WARE-NMK1003,2018-10-27,2019-02-20,2019-03-10,2019-03-15,USD,8,3,92,3,1,0.05,1340.0,844.2,1340.0,67.0,1273.0
SO - 0002393,In-Store,WARE-XYS1001,2018-10-27,2019-02-20,2019-03-13,2019-03-17,USD,11,46,21,31,7,0.05,2331.6,1841.964,16321.199999999999,816.06,15505.14
SO - 0002394,In-Store,WARE-UHY1004,2018-10-27,2019-02-20,2019-03-08,2019-03-16,USD,4,43,228,8,4,0.05,2425.4,1406.732,9701.6,485.08000000000004,9216.52
SO - 0002395,Online,WARE-NBV1002,2018-10-27,2019-02-20,2019-02-22,2019-03-02,USD,16,10,61,11,8,0.075,1092.1,688.0230000000001,8736.8,655.2599999999999,8081.539999999999
SO - 0002396,In-Store,WARE-NMK1003,2018-10-27,2019-02-20,2019-03-15,2019-03-25,USD,11,36,91,46,8,0.15,917.9,614.993,7343.2,1101.48,6241.719999999999
SO - 0002397,In-Store,WARE-NMK1003,2018-10-27,2019-02-20,2019-03-12,2019-03-17,USD,2,34,197,43,7,0.1,207.7,85.157,1453.8999999999999,145.39,1308.5099999999998
SO - 0002398,In-Store,WARE-XYS1001,2018-10-27,2019-02-20,2019-03-20,2019-03-27,USD,4,32,4,33,8,0.05,1996.6,1637.212,15972.8,798.64,15174.16
SO - 0002399,Online,WARE-PUJ1005,2018-10-27,2019-02-20,2019-03-13,2019-03-14,USD,19,2,278,5,7,0.1,234.5,103.18,1641.5,164.15,1477.35
SO - 0002400,In-Store,WARE-NMK1003,2018-10-27,2019-02-21,2019-02-24,2019-03-01,USD,2,49,168,17,1,0.1,1005.0,693.4499999999999,1005.0,100.5,904.5
SO - 0002401,In-Store,WARE-NBV1002,2018-10-27,2019-02-21,2019-03-08,2019-03-17,USD,6,46,77,6,6,0.075,5487.3,4060.602,32923.8,2469.2850000000003,30454.515000000003
SO - 0002402,Online,WARE-NMK1003,2018-10-27,2019-02-21,2019-03-10,2019-03-16,USD,13,12,119,19,6,0.05,5976.400000000001,3585.84,35858.4,1792.92,34065.48
SO - 0002403,Online,WARE-XYS1001,2018-10-27,2019-02-21,2019-02-26,2019-03-05,USD,19,25,21,12,8,0.2,884.4,619.0799999999999,7075.2,1415.04,5660.16
